model,n,nll,rmse,mae,brier,max_calib_dev
home_always,7289,2.926671705256392,4.511192555202577,3.5478400510675585,0.24947959490586394,0.0165834612149095
elo_lite,7289,2.9135536128663264,4.452592011320677,3.459149727078468,0.2445005491745563,
linear,7289,2.90746632920771,4.429173634488549,3.448832770363424,0.24356181927563642,0.064366522996407
