arm,nll,rmse,brier,calib,tuned
"A: shipped, ridge",2.9070998799515495,4.42843467278864,0.24333296723931647,0.06564079744891183,"{'half_life_seasons': inf, 'lam': 10.0}"
"B: +skill, ridge",2.9071575765502957,4.428644922359233,0.2433509418416982,0.07341949854057106,"{'half_life_seasons': inf, 'lam': 10.0}"
"C: +skill, lasso",2.907157996396717,4.428672922000573,0.2434591123964236,0.07655349088810792,{'alpha': 0.002}
