date,home,away,g1_home,g1_away,g2_home,g2_away,g1_total,g2_total
2011-07-02,WSH,PIT,3.0,5.0,4.0,3.0,8.0,7.0
2011-07-16,ATH,LAA,2.0,4.0,4.0,3.0,6.0,7.0
2011-07-18,MIN,CLE,2.0,5.0,3.0,6.0,7.0,9.0
2011-07-30,NYY,BAL,8.0,3.0,17.0,3.0,11.0,20.0
2011-08-16,BOS,TB,3.0,1.0,2.0,6.0,4.0,8.0
2011-08-22,PIT,MIL,1.0,8.0,9.0,2.0,9.0,11.0
2011-08-23,CLE,SEA,7.0,5.0,7.0,12.0,12.0,19.0
2011-08-24,MIA,CIN,6.0,5.0,2.0,3.0,11.0,5.0
2011-08-27,BOS,ATH,9.0,3.0,4.0,0.0,12.0,4.0
2011-08-28,BAL,NYY,2.0,0.0,3.0,8.0,2.0,11.0
2011-08-29,NYM,MIA,2.0,1.0,5.0,1.0,3.0,6.0
2011-09-05,MIN,CWS,1.0,2.0,0.0,4.0,3.0,4.0
2011-09-08,NYM,ATL,5.0,6.0,1.0,5.0,11.0,6.0
2011-09-15,PHI,MIA,3.0,1.0,2.0,1.0,4.0,3.0
2011-09-19,BOS,BAL,5.0,6.0,18.0,9.0,11.0,27.0
2011-09-20,CLE,CWS,4.0,3.0,4.0,5.0,7.0,9.0
2011-09-20,PHI,WSH,3.0,4.0,0.0,3.0,7.0,3.0
2011-09-21,NYY,TB,4.0,2.0,4.0,2.0,6.0,6.0
2011-09-24,CLE,MIN,8.0,2.0,7.0,6.0,10.0,13.0
2011-09-24,NYM,PHI,2.0,1.0,6.0,3.0,3.0,9.0
2011-09-25,NYY,BOS,6.0,2.0,4.0,7.0,8.0,11.0
2012-04-21,DET,TEX,4.0,10.0,3.0,2.0,14.0,5.0
2012-04-23,NYM,SF,1.0,6.0,2.0,7.0,7.0,9.0
2012-04-25,PIT,COL,1.0,2.0,5.0,1.0,3.0,6.0
2012-05-07,CLE,CWS,8.0,6.0,3.0,2.0,14.0,5.0
2012-05-10,BAL,TEX,6.0,5.0,3.0,7.0,11.0,10.0
2012-05-28,COL,HOU,9.0,7.0,7.0,6.0,16.0,13.0
2012-06-24,PHI,TB,2.0,3.0,3.0,7.0,5.0,10.0
2012-06-30,MIN,KC,7.0,2.0,5.0,1.0,9.0,6.0
2012-07-07,BOS,NYY,1.0,6.0,9.0,5.0,7.0,14.0
2012-07-21,WSH,ATL,0.0,4.0,5.0,2.0,4.0,7.0
2012-08-03,WSH,MIA,7.0,4.0,2.0,5.0,11.0,7.0
2012-08-18,CIN,CHC,5.0,3.0,7.0,9.0,8.0,16.0
2012-08-22,AZ,MIA,3.0,2.0,3.0,0.0,5.0,3.0
2012-09-01,KC,MIN,1.0,3.0,7.0,8.0,4.0,15.0
2012-09-09,PHI,COL,3.0,2.0,7.0,4.0,5.0,11.0
2012-09-19,NYY,TOR,4.0,2.0,2.0,1.0,6.0,3.0
2012-09-19,WSH,LAD,3.0,1.0,6.0,7.0,4.0,13.0
2012-09-23,DET,MIN,4.0,10.0,1.0,2.0,14.0,3.0
2012-09-24,BAL,TOR,4.0,1.0,5.0,9.0,5.0,14.0
2012-09-30,TEX,LAA,4.0,5.0,8.0,7.0,9.0,15.0
2013-04-16,COL,NYM,8.0,4.0,9.0,8.0,12.0,17.0
2013-04-17,CIN,PHI,1.0,0.0,11.0,2.0,1.0,13.0
2013-04-20,BAL,LAD,7.0,5.0,6.0,1.0,12.0,7.0
2013-04-21,BOS,KC,2.0,4.0,4.0,5.0,6.0,9.0
2013-04-23,COL,ATL,3.0,4.0,2.0,10.0,7.0,12.0
2013-04-23,MIN,MIA,4.0,3.0,5.0,8.0,7.0,13.0
2013-04-28,KC,CLE,9.0,0.0,3.0,10.0,9.0,13.0
2013-05-13,CLE,NYY,1.0,0.0,0.0,7.0,1.0,7.0
2013-05-25,NYM,ATL,5.0,7.0,0.0,6.0,12.0,6.0
2013-05-27,AZ,TEX,5.0,3.0,5.0,4.0,8.0,9.0
2013-06-01,STL,SF,8.0,0.0,7.0,1.0,8.0,8.0
2013-06-08,BOS,LAA,5.0,9.0,7.0,2.0,14.0,9.0
2013-06-09,WSH,MIN,7.0,0.0,5.0,4.0,7.0,9.0
2013-06-18,ATL,NYM,3.0,4.0,1.0,6.0,7.0,7.0
2013-06-18,BOS,TB,5.0,1.0,3.0,1.0,6.0,4.0
2013-06-19,NYY,LAD,6.0,4.0,0.0,6.0,10.0,6.0
2013-06-28,CWS,CLE,10.0,19.0,8.0,9.0,29.0,17.0
2013-07-13,PHI,CWS,4.0,5.0,2.0,1.0,9.0,3.0
2013-07-26,WSH,NYM,0.0,11.0,2.0,1.0,11.0,3.0
2013-07-30,CHC,MIL,5.0,6.0,2.0,3.0,11.0,5.0
2013-07-30,PIT,STL,2.0,1.0,6.0,0.0,3.0,6.0
2013-08-09,CWS,MIN,5.0,7.0,2.0,3.0,12.0,5.0
2013-08-16,DET,KC,1.0,2.0,0.0,3.0,3.0,3.0
2013-08-20,NYY,TOR,8.0,4.0,3.0,2.0,12.0,5.0
2013-09-14,NYM,MIA,0.0,3.0,3.0,1.0,3.0,4.0
2013-09-17,WSH,ATL,6.0,5.0,4.0,0.0,11.0,4.0
2013-09-22,WSH,MIA,2.0,4.0,5.0,4.0,6.0,9.0
2014-04-02,ATH,CLE,6.0,1.0,4.0,6.0,7.0,10.0
2014-04-09,CLE,SD,2.0,0.0,1.0,2.0,2.0,3.0
2014-04-15,CIN,PIT,7.0,8.0,7.0,5.0,15.0,12.0
2014-04-16,NYY,CHC,3.0,0.0,2.0,0.0,3.0,2.0
2014-04-17,MIN,TOR,7.0,0.0,9.0,5.0,7.0,14.0
2014-05-01,BAL,PIT,5.0,1.0,6.0,5.0,6.0,11.0
2014-05-01,BOS,TB,1.0,2.0,5.0,6.0,3.0,11.0
2014-05-01,MIN,LAD,4.0,9.0,3.0,4.0,13.0,7.0
2014-05-07,ATH,SEA,4.0,6.0,2.0,0.0,10.0,2.0
2014-05-15,CIN,SD,5.0,0.0,1.0,6.0,5.0,7.0
2014-05-18,NYY,PIT,4.0,3.0,3.0,5.0,7.0,8.0
2014-05-25,NYM,AZ,1.0,2.0,4.0,2.0,3.0,6.0
2014-06-27,BAL,TB,2.0,5.0,4.0,1.0,7.0,5.0
2014-06-28,CHC,WSH,0.0,3.0,2.0,7.0,3.0,9.0
2014-06-28,PHI,ATL,3.0,10.0,1.0,5.0,13.0,6.0
2014-07-01,CWS,LAA,4.0,8.0,5.0,7.0,12.0,12.0
2014-07-05,BOS,BAL,3.0,2.0,4.0,7.0,5.0,11.0
2014-07-08,CIN,CHC,4.0,2.0,6.0,5.0,6.0,11.0
2014-07-19,DET,CLE,2.0,6.0,2.0,5.0,8.0,7.0
2014-08-13,CLE,AZ,3.0,2.0,0.0,1.0,5.0,1.0
2014-08-17,COL,CIN,10.0,9.0,10.0,5.0,19.0,15.0
