game_id,season,day_index,home_team,away_team,y,mu,sigma,gameday,home_score,away_score,p_home,su_pick,su_win,su_correct,rl_pick,rl_correct
718733,2023,3,SD,COL,2.0,0.5798963588089892,4.386185561348783,2023-04-02,3.0,1.0,0.5583944006429653,SD,SD,True,SD,True
718734,2023,3,ATH,LAA,-6.0,-0.9932041297693759,4.386185561348783,2023-04-02,0.0,6.0,0.40067549439892386,LAA,LAA,True,LAA,True
718735,2023,3,SEA,CLE,-1.0,-0.24627335205627654,4.386185561348783,2023-04-02,5.0,6.0,0.4751276777477449,CLE,CLE,True,CLE,False
718736,2023,3,LAD,AZ,-1.0,2.734084581636508,4.386185561348783,2023-04-02,1.0,2.0,0.7557196689011306,LAD,AZ,False,LAD,False
718737,2023,3,STL,TOR,5.0,-0.2326376693439321,4.386185561348783,2023-04-02,9.0,4.0,0.47650317026066463,TOR,STL,False,TOR,False
718738,2023,3,CHC,MIL,-4.0,-0.09544930141681243,4.386185561348783,2023-04-02,5.0,9.0,0.49035480541106347,MIL,MIL,True,MIL,True
718739,2023,3,TEX,PHI,1.0,-0.5608124364764272,4.386185561348783,2023-04-02,2.0,1.0,0.4435141987901169,PHI,TEX,False,PHI,False
718740,2023,3,HOU,CWS,-3.0,1.1028312781715692,4.386185561348783,2023-04-02,3.0,6.0,0.6100195041323866,HOU,CWS,False,HOU,False
718741,2023,3,MIA,NYM,-4.0,-0.9206408457050874,4.386185561348783,2023-04-02,1.0,5.0,0.40779634353514804,NYM,NYM,True,NYM,True
718742,2023,3,TB,DET,4.0,1.256068709354862,4.386185561348783,2023-04-02,5.0,1.0,0.6248288575216038,TB,TB,True,TB,True
718743,2023,3,WSH,ATL,3.0,-1.4473519258604368,4.386185561348783,2023-04-02,4.0,1.0,0.3569422756253171,ATL,WSH,False,ATL,False
718744,2023,3,CIN,PIT,2.0,0.5888863207466895,4.386185561348783,2023-04-02,3.0,1.0,0.5592930276314849,CIN,CIN,True,CIN,True
718745,2023,3,KC,MIN,-3.0,-0.8971334469184908,4.386185561348783,2023-04-02,4.0,7.0,0.41010986463811927,MIN,MIN,True,MIN,True
718747,2023,3,NYY,SF,6.0,0.41354958369749806,4.386185561348783,2023-04-02,6.0,0.0,0.5417171223152286,NYY,NYY,True,NYY,True
718748,2023,3,BOS,BAL,4.0,0.227836798976371,4.386185561348783,2023-04-02,9.0,5.0,0.5230124769055078,BOS,BOS,True,BOS,True
718718,2023,4,LAD,COL,9.0,2.0267270128061683,4.386185561348783,2023-04-03,13.0,4.0,0.6961683119096098,LAD,LAD,True,LAD,True
718719,2023,4,KC,TOR,4.0,-0.9108672575332089,4.386185561348783,2023-04-03,9.0,5.0,0.4087578425256534,TOR,KC,False,TOR,False
718720,2023,4,SEA,LAA,-4.0,0.4175090980442929,4.386185561348783,2023-04-03,3.0,7.0,0.5421150612576375,SEA,LAA,False,SEA,False
718721,2023,4,ATH,CLE,-1.0,-1.1865477215245477,4.386185561348783,2023-04-03,11.0,12.0,0.3818685482895512,CLE,CLE,True,CLE,False
718722,2023,4,SD,AZ,1.0,0.5581825326196517,4.386185561348783,2023-04-03,5.0,4.0,0.5562226784836873,SD,SD,True,SD,False
718723,2023,4,HOU,DET,-1.0,1.569056033874235,4.386185561348783,2023-04-03,6.0,7.0,0.6544910955093706,HOU,DET,False,HOU,False
718724,2023,4,BOS,PIT,-1.0,0.7750278186364753,4.386185561348783,2023-04-03,6.0,7.0,0.5778242562779252,BOS,PIT,False,BOS,False
718725,2023,4,NYY,PHI,7.0,1.1041199466824345,4.386185561348783,2023-04-03,8.0,1.0,0.6101447473326185,NYY,NYY,True,NYY,True
718726,2023,4,TEX,BAL,-2.0,0.12953908817852522,4.386185561348783,2023-04-03,0.0,2.0,0.5130889091728632,TEX,BAL,False,TEX,False
718727,2023,4,STL,ATL,-4.0,-0.40656734380796833,4.386185561348783,2023-04-03,4.0,8.0,0.4589847081022386,ATL,ATL,True,ATL,True
718728,2023,4,CIN,CHC,1.0,0.02751993594874165,4.386185561348783,2023-04-03,7.0,6.0,0.5027811502784673,CIN,CIN,True,CIN,False
718729,2023,4,MIA,MIN,-10.0,-0.4695976602036097,4.386185561348783,2023-04-03,1.0,11.0,0.4526540158118739,MIN,MIN,True,MIN,True
718730,2023,4,CWS,SF,-9.0,-0.16807947011428537,4.386185561348783,2023-04-03,3.0,12.0,0.4830189703399227,SF,SF,True,SF,True
718731,2023,4,MIL,NYM,10.0,-0.5813222162801776,4.386185561348783,2023-04-03,10.0,0.0,0.44146305198769437,NYM,MIL,False,NYM,False
718732,2023,4,WSH,TB,-4.0,-1.603636957454802,4.386185561348783,2023-04-03,2.0,6.0,0.34228524203330013,TB,TB,True,TB,True
718703,2023,5,LAD,COL,3.0,2.3434789977087007,4.386185561348783,2023-04-04,5.0,2.0,0.7236273794940726,LAD,LAD,True,LAD,True
718705,2023,5,HOU,DET,-3.0,1.7345259133112894,4.386185561348783,2023-04-04,3.0,6.0,0.6698109224773474,HOU,DET,False,HOU,False
718706,2023,5,SEA,LAA,9.0,0.2675944090510621,4.386185561348783,2023-04-04,11.0,2.0,0.5270224727864103,SEA,SEA,True,SEA,True
718707,2023,5,ATH,CLE,1.0,-1.6382414963101122,4.386185561348783,2023-04-04,4.0,3.0,0.33907084130191734,CLE,ATH,False,CLE,False
718708,2023,5,KC,TOR,-3.0,-0.5576014783025819,4.386185561348783,2023-04-04,1.0,4.0,0.4438354595348285,TOR,TOR,True,TOR,True
718709,2023,5,TEX,BAL,-5.0,-0.09225715019965283,4.386185561348783,2023-04-04,2.0,7.0,0.490677313979761,BAL,BAL,True,BAL,True
718710,2023,5,NYY,PHI,-3.0,0.9107572736958269,4.386185561348783,2023-04-04,1.0,4.0,0.5912313344271705,NYY,PHI,False,NYY,False
718711,2023,5,STL,ATL,-3.0,-0.4581344304450401,4.386185561348783,2023-04-04,1.0,4.0,0.45380452228088536,ATL,ATL,True,ATL,True
718712,2023,5,MIL,NYM,9.0,-0.8964955865292594,4.386185561348783,2023-04-04,9.0,0.0,0.4101726847781287,NYM,MIL,False,NYM,False
718713,2023,5,BOS,PIT,-3.0,0.747564611556378,4.386185561348783,2023-04-04,1.0,4.0,0.5750999568062077,BOS,PIT,False,BOS,False
718714,2023,5,MIA,MIN,1.0,-0.2003453134430937,4.386185561348783,2023-04-04,1.0,0.0,0.4797617322150522,MIN,MIA,False,MIN,False
718715,2023,5,WSH,TB,-4.0,-1.6731742494051465,4.386185561348783,2023-04-04,6.0,10.0,0.33583779251411494,TB,TB,True,TB,True
718716,2023,5,CIN,CHC,-7.0,-0.16431955634958628,4.386185561348783,2023-04-04,5.0,12.0,0.4833986116970885,CHC,CHC,True,CHC,True
718717,2023,5,SD,AZ,-2.0,0.8372595236809994,4.386185561348783,2023-04-04,6.0,8.0,0.5839835694175721,SD,AZ,False,SD,False
718689,2023,6,ATH,CLE,-2.0,-1.2255062163227002,4.386185561348783,2023-04-05,4.0,6.0,0.3781109253411031,CLE,CLE,True,CLE,True
718691,2023,6,SEA,LAA,-1.0,-0.3105994424818038,4.386185561348783,2023-04-05,3.0,4.0,0.46864308622754164,LAA,LAA,True,LAA,False
718692,2023,6,KC,TOR,-3.0,-0.9313356409342846,4.386185561348783,2023-04-05,0.0,3.0,0.40674485485838024,TOR,TOR,True,TOR,True
718694,2023,6,TEX,BAL,3.0,0.2122845657941096,4.386185561348783,2023-04-05,5.0,2.0,0.5214432049023973,TEX,TEX,True,TEX,True
718695,2023,6,CWS,SF,4.0,-0.7049372013965208,4.386185561348783,2023-04-05,7.0,3.0,0.4291356709008054,SF,CWS,False,SF,False
718696,2023,6,HOU,DET,6.0,2.090202913172657,4.386185561348783,2023-04-05,8.0,2.0,0.7017677073258418,HOU,HOU,True,HOU,True
718697,2023,6,STL,ATL,-3.0,-0.22578547550150674,4.386185561348783,2023-04-05,2.0,5.0,0.4771944885471177,ATL,ATL,True,ATL,True
718698,2023,6,MIL,NYM,1.0,0.09385676462917036,4.386185561348783,2023-04-05,7.0,6.0,0.5094842986128464,MIL,MIL,True,MIL,False
718699,2023,6,NYY,PHI,2.0,0.6602639471073343,4.386185561348783,2023-04-05,4.0,2.0,0.5664166530337009,NYY,NYY,True,NYY,True
718701,2023,6,MIA,MIN,3.0,-0.6366035498124774,4.386185561348783,2023-04-05,5.0,2.0,0.43594242830435725,MIN,MIA,False,MIN,False
718702,2023,6,BOS,PIT,-3.0,1.1627399497356963,4.386185561348783,2023-04-05,1.0,4.0,0.6158296289728898,BOS,PIT,False,BOS,False
718704,2023,6,WSH,TB,-5.0,-1.71131751359529,4.386185561348783,2023-04-05,2.0,7.0,0.3323214392437297,TB,TB,True,TB,True
718681,2023,7,ATL,SD,1.0,0.8560943585964332,4.386982782863762,2023-04-06,7.0,6.0,0.5858283830990403,ATL,ATL,True,ATL,False
718682,2023,7,COL,WSH,1.0,1.2675458933435693,4.386982782863762,2023-04-06,1.0,0.0,0.6259088702455378,COL,COL,True,COL,False
718683,2023,7,AZ,LAD,-3.0,-1.6192257039915325,4.386982782863762,2023-04-06,2.0,5.0,0.34086311677224074,LAD,LAD,True,LAD,True
718686,2023,7,KC,TOR,-3.0,-1.440621424271098,4.386982782863762,2023-04-06,3.0,6.0,0.35760319825537923,TOR,TOR,True,TOR,True
718687,2023,7,CWS,SF,-10.0,-0.13476339386780606,4.386982782863762,2023-04-06,6.0,16.0,0.4863858902636442,SF,SF,True,SF,True
718690,2023,7,DET,BOS,-3.0,-0.5410422896903854,4.386982782863762,2023-04-06,3.0,6.0,0.44550265383363896,BOS,BOS,True,BOS,True
718670,2023,8,LAA,TOR,-1.0,-0.030194963422873256,4.386982782863762,2023-04-07,3.0,4.0,0.49694907240582364,TOR,TOR,True,TOR,False
718671,2023,8,AZ,LAD,3.0,-2.19300271782852,4.386982782863762,2023-04-07,6.0,3.0,0.28929967773566,LAD,AZ,False,LAD,False
718673,2023,8,COL,WSH,-5.0,0.5481664368439101,4.386982782863762,2023-04-07,5.0,10.0,0.555210368325624,COL,WSH,False,COL,False
718674,2023,8,MIL,STL,4.0,0.894523067768643,4.386982782863762,2023-04-07,4.0,0.0,0.5896170240225244,MIL,MIL,True,MIL,True
718675,2023,8,CHC,TEX,2.0,0.08036832157437522,4.386982782863762,2023-04-07,2.0,0.0,0.5081200094583879,CHC,CHC,True,CHC,True
