date,game_pk,market,pick,ask,p_model,edge,won,price_age_min,fee,cost_per_contract,stake,contracts,pnl,cum_pnl
2026-08-29,824230,ML,DET,0.37,0.431,0.045,True,0.0,0.016317,0.386317,15.0,38.82821620586202,23.83,23.83
2026-08-29,822690,OVER 9.5,OVER 9.5,0.34975692,0.406,0.04,False,0.0,0.015919891183847953,0.365676811183848,15.0,41.01982827797792,-15.0,8.83
2026-08-29,823501,ML,BOS,0.45,0.51,0.043,False,0.0,0.017325000000000007,0.467325,15.0,32.09757663296421,-15.0,-6.17
2026-08-29,823986,ML,LAA,0.32,0.378,0.043,False,0.0,0.015232,0.33523200000000003,15.0,44.74513172966781,-15.0,-21.17
2026-08-29,824961,ML,BAL,0.58,0.64,0.043,True,0.0,0.017052000000000005,0.5970519999999999,15.0,25.12343983438629,10.12,-11.05
2026-08-29,824961,UNDER 8.5,UNDER 8.5,0.36940972,0.483,0.097,True,0.0,0.016306232513866516,0.38571595251386653,15.0,38.88872083780551,23.89,12.84
2026-08-30,822933,OVER 9.5,OVER 9.5,0.26976592000000005,0.328,0.044,False,0.0,0.013789458788458756,0.2835553787884588,15.0,52.8997194977933,-15.0,-2.16
2026-08-30,823740,UNDER 8.5,UNDER 8.5,0.49952023,0.5660000000000001,0.049,False,0.0,0.017499983887452296,0.5170202138874523,15.0,29.012405312387415,-15.0,-17.16
2026-08-30,823580,UNDER 8.5,UNDER 8.5,0.44957623,0.552,0.085,False,0.0,0.0173220210393291,0.46689825103932914,15.0,32.12691409018895,-15.0,-32.16
2026-08-30,824636,UNDER 8.5,UNDER 8.5,0.40987303,0.527,0.1,False,0.0,0.016931399049503342,0.4268044290495034,15.0,35.144902393363424,-15.0,-47.16
2026-08-31,822932,ML,NYM,0.37,0.46599999999999997,0.08,True,0.0,0.016317,0.386317,15.0,38.82821620586202,23.83,-23.33
2026-08-31,823663,ML,DET,0.47,0.544,0.057,False,0.0,0.017437,0.48743699999999995,15.0,30.773207614522494,-15.0,-38.33
2026-08-31,823663,UNDER 8.5,UNDER 8.5,0.44957623,0.534,0.067,False,0.0,0.0173220210393291,0.46689825103932914,15.0,32.12691409018895,-15.0,-53.33
2026-08-31,824149,ML,CWS,0.45,0.5349999999999999,0.068,False,0.0,0.017325000000000007,0.467325,15.0,32.09757663296421,-15.0,-68.33
