game_id,game_pk,season,gameday,team,opponent,is_home,runs_scored,runs_allowed,run_diff,hits,doubles,triples,home_runs,bb,so,hbp,pa,ab,tb,lob,sb,obp,slg,p_ip,p_outs,p_h,p_bb,p_hbp,p_so,p_hr,p_er,p_r,p_bf,p_pitches,p_strikes,p_strike_pct,brpi_off,brpi_def,lob_rate_off,runs_late,runs_allowed_late
634655,634655,2021,2021-04-01,CWS,LAA,0,3,4,-1,7,2,0,1,2,10,0,35,33,12,9,1,.257,.364,8.0,24,6,4,0,10,1,2,4,34,140,92,0.66,1.0,1.25,1.0,0,2
634576,634576,2021,2021-04-02,SD,AZ,1,4,2,2,9,3,0,1,7,8,0,36,28,15,18,0,.427,.567,9.0,27,8,2,0,12,1,2,2,38,160,98,0.61,1.7777777777777777,1.1111111111111112,1.125,1,2
634576,634576,2021,2021-04-02,AZ,SD,0,2,4,-2,8,1,0,1,2,12,0,38,36,12,22,1,.291,.513,8.0,24,9,7,0,8,1,4,4,36,159,95,0.6,1.1111111111111112,2.0,2.2,2,1
634578,634578,2021,2021-04-02,SEA,SF,1,3,6,-3,6,3,0,0,4,12,0,35,31,9,13,0,.321,.270,9.0,27,8,4,0,13,2,6,6,39,149,102,0.68,1.1111111111111112,1.3333333333333333,1.3,0,3
634578,634578,2021,2021-04-02,SF,SEA,0,6,3,3,8,1,0,2,4,13,0,39,35,15,12,1,.317,.541,9.0,27,6,4,0,12,0,3,3,35,152,97,0.64,1.3333333333333333,1.1111111111111112,1.0,3,0
634602,634602,2021,2021-04-02,MIA,TB,1,4,6,-2,10,2,1,0,3,7,0,39,36,14,13,1,.243,.258,9.0,27,8,3,0,7,3,6,6,36,143,102,0.71,1.4444444444444444,1.2222222222222223,1.0,4,5
634602,634602,2021,2021-04-02,TB,MIA,0,6,4,2,8,0,1,3,3,7,0,36,32,19,7,0,.278,.438,9.0,27,10,3,0,7,0,4,4,39,140,88,0.63,1.2222222222222223,1.4444444444444444,0.6363636363636364,5,4
634605,634605,2021,2021-04-02,ATH,HOU,1,5,9,-4,8,1,1,1,3,7,2,39,33,14,13,0,.311,.349,9.0,27,14,5,0,11,2,8,9,45,182,104,0.57,1.4444444444444444,2.111111111111111,1.0,3,4
634605,634605,2021,2021-04-02,HOU,ATH,0,9,5,4,14,4,0,2,5,11,0,45,40,24,23,0,.409,.575,9.0,27,8,3,2,7,1,5,5,39,164,97,0.59,2.111111111111111,1.4444444444444444,1.2105263157894737,4,3
634627,634627,2021,2021-04-02,BOS,BAL,1,0,3,-3,2,1,0,0,2,8,0,31,29,3,9,0,.129,.103,9.0,27,9,2,0,7,0,2,3,36,164,99,0.6,0.4444444444444444,1.2222222222222223,2.25,0,1
634627,634627,2021,2021-04-02,BAL,BOS,0,3,0,3,9,2,0,0,2,7,0,36,34,11,16,0,.306,.324,9.0,27,2,2,0,8,0,0,0,31,136,89,0.65,1.2222222222222223,0.4444444444444444,1.4545454545454546,1,0
634631,634631,2021,2021-04-02,LAA,CWS,1,8,12,-4,8,1,1,2,5,12,0,40,35,17,13,0,.311,.400,9.0,27,13,5,0,11,2,12,12,45,173,121,0.7,1.4444444444444444,2.0,1.0,2,5
634631,634631,2021,2021-04-02,CWS,LAA,0,12,8,4,13,2,0,2,5,11,0,45,40,21,13,0,.338,.452,9.0,27,8,5,0,12,2,6,8,40,161,102,0.63,2.0,1.4444444444444444,0.7222222222222222,5,2
634653,634653,2021,2021-04-02,COL,LAD,1,6,11,-5,8,0,0,4,2,13,0,37,35,20,9,0,.320,.486,9.0,27,16,2,1,7,0,11,11,47,169,105,0.62,1.1111111111111112,2.111111111111111,0.9,6,3
634653,634653,2021,2021-04-02,LAD,COL,0,11,6,5,16,5,2,0,2,7,1,47,41,25,21,0,.473,.584,9.0,27,8,2,0,13,4,6,6,37,133,91,0.68,2.111111111111111,1.1111111111111112,1.105263157894737,3,6
634573,634573,2021,2021-04-03,DET,CLE,1,5,2,3,10,1,1,0,5,6,0,39,32,13,17,0,.342,.355,9.0,27,7,4,0,6,1,2,2,36,145,90,0.62,1.6666666666666667,1.2222222222222223,1.1333333333333333,3,1
634573,634573,2021,2021-04-03,CLE,DET,0,2,5,-3,7,1,0,1,4,6,0,36,31,11,11,0,.311,.333,8.0,24,10,5,0,6,0,5,5,39,154,89,0.58,1.2222222222222223,1.875,1.0,1,3
634575,634575,2021,2021-04-03,MIL,MIN,1,0,2,-2,1,0,0,0,1,17,1,30,28,1,7,0,.243,.191,9.0,27,4,0,1,13,1,2,2,32,129,86,0.67,0.3333333333333333,0.5555555555555556,2.3333333333333335,0,2
634575,634575,2021,2021-04-03,MIN,MIL,0,2,0,2,4,0,0,1,0,13,1,32,31,7,3,0,.282,.343,9.0,27,1,1,1,17,0,0,0,30,127,87,0.69,0.5555555555555556,0.3333333333333333,0.6,2,0
634577,634577,2021,2021-04-03,BOS,BAL,1,2,4,-2,7,1,0,0,2,8,1,37,33,8,18,1,.206,.177,9.0,27,8,1,0,11,0,3,4,36,136,86,0.63,1.1111111111111112,1.0,1.8,0,1
634577,634577,2021,2021-04-03,BAL,BOS,0,4,2,2,8,1,0,0,1,11,0,36,34,9,11,0,.278,.294,9.0,27,7,2,1,8,0,2,2,37,152,95,0.63,1.0,1.1111111111111112,1.2222222222222223,1,0
634580,634580,2021,2021-04-03,PHI,ATL,1,4,0,4,8,3,0,0,4,10,2,36,30,11,14,0,.359,.333,9.0,27,1,0,0,14,0,0,0,28,113,79,0.7,1.5555555555555556,0.1111111111111111,1.0,0,0
634580,634580,2021,2021-04-03,ATL,PHI,0,0,4,-4,1,0,0,0,0,14,0,28,28,1,2,0,.162,.200,8.0,24,8,4,2,10,0,4,4,36,144,90,0.63,0.1111111111111111,1.75,2.0,0,0
634596,634596,2021,2021-04-03,MIA,TB,1,12,7,5,14,4,1,2,5,10,0,42,35,26,18,4,.321,.426,9.0,27,9,1,0,6,1,6,7,37,124,85,0.69,2.111111111111111,1.1111111111111112,0.9473684210526315,6,1
634596,634596,2021,2021-04-03,TB,MIA,0,7,12,-5,9,2,0,1,1,6,0,37,35,14,10,0,.278,.424,8.0,24,14,5,0,10,2,11,12,42,171,116,0.68,1.1111111111111112,2.375,1.0,1,6
634604,634604,2021,2021-04-03,KC,TEX,1,11,4,7,12,5,1,2,4,4,1,40,35,25,19,0,.467,.671,9.0,27,6,3,1,10,1,4,4,36,146,91,0.62,1.8888888888888888,1.1111111111111112,1.1176470588235294,1,0
634604,634604,2021,2021-04-03,TEX,KC,0,4,11,-7,6,1,0,1,3,10,1,36,32,10,10,0,.407,.389,8.0,24,12,4,1,4,2,8,11,40,148,89,0.6,1.1111111111111112,2.125,1.0,0,1
634623,634623,2021,2021-04-03,SD,AZ,1,7,0,7,10,3,0,1,6,8,0,42,35,16,20,0,.414,.526,9.0,27,4,0,0,11,0,0,0,30,116,82,0.71,1.7777777777777777,0.4444444444444444,1.25,0,0
634623,634623,2021,2021-04-03,AZ,SD,0,0,7,-7,4,0,0,0,0,11,0,30,30,4,8,0,.248,.406,8.0,24,10,6,0,8,1,5,7,42,169,98,0.58,0.4444444444444444,2.0,2.0,0,0
634629,634629,2021,2021-04-03,ATH,HOU,1,1,9,-8,3,0,0,0,5,11,1,35,29,3,18,0,.294,.272,9.0,27,13,2,2,6,1,9,9,43,172,110,0.64,1.0,1.8888888888888888,2.0,0,4
634629,634629,2021,2021-04-03,HOU,ATH,0,9,1,8,13,3,0,1,2,6,2,43,38,19,21,0,.405,.550,9.0,27,3,5,1,11,0,1,1,35,150,86,0.57,1.8888888888888888,1.0,1.2352941176470589,4,0
634633,634633,2021,2021-04-03,COL,LAD,1,5,6,-1,7,4,0,2,3,6,0,37,34,17,10,0,.304,.490,9.0,27,12,4,1,14,1,6,6,45,170,108,0.64,1.1111111111111112,1.8888888888888888,1.0,3,3
634633,634633,2021,2021-04-03,LAD,COL,0,6,5,1,12,3,1,1,4,14,1,45,39,20,21,1,.444,.560,9.0,27,7,3,0,6,2,5,5,37,146,84,0.58,1.8888888888888888,1.1111111111111112,1.2352941176470589,3,3
634639,634639,2021,2021-04-03,SEA,SF,1,4,0,4,8,4,0,2,3,8,0,34,31,18,13,1,.321,.372,9.0,27,6,2,1,12,0,0,0,35,157,100,0.64,1.2222222222222223,1.0,1.1818181818181819,1,0
634639,634639,2021,2021-04-03,SF,SEA,0,0,4,-4,6,1,0,0,2,12,1,35,32,7,15,0,.299,.443,8.0,24,8,3,0,8,2,4,4,34,127,87,0.69,1.0,1.375,1.6666666666666667,0,1
634643,634643,2021,2021-04-03,CHC,PIT,1,5,1,4,7,0,0,2,4,12,0,36,31,13,19,2,.246,.298,9.0,27,6,1,0,12,0,1,1,33,126,84,0.67,1.2222222222222223,0.7777777777777778,1.7272727272727273,1,0
634643,634643,2021,2021-04-03,PIT,CHC,0,1,5,-4,6,0,1,0,1,12,0,33,32,8,9,0,.350,.328,8.0,24,7,4,0,12,2,5,5,36,160,100,0.63,0.7777777777777778,1.375,1.2857142857142858,0,1
634644,634644,2021,2021-04-03,NYY,TOR,1,5,3,2,11,1,0,1,6,10,0,41,35,15,19,0,.354,.343,9.0,27,8,3,1,11,1,2,3,37,150,92,0.61,1.8888888888888888,1.3333333333333333,1.1176470588235294,0,1
634644,634644,2021,2021-04-03,TOR,NYY,0,3,5,-2,8,0,0,1,3,11,1,37,33,11,18,2,.293,.333,8.0,24,11,6,0,10,1,5,5,41,170,102,0.6,1.3333333333333333,2.125,1.5,1,0
634646,634646,2021,2021-04-03,LAA,CWS,1,5,3,2,9,0,1,1,2,11,0,35,33,14,13,1,.312,.408,9.0,27,9,3,1,10,1,3,3,39,144,97,0.67,1.2222222222222223,1.4444444444444444,1.1818181818181819,3,0
634646,634646,2021,2021-04-03,CWS,LAA,0,3,5,-2,9,1,0,1,3,10,1,39,35,13,16,0,.336,.426,8.0,24,9,2,0,11,1,3,5,35,144,92,0.64,1.4444444444444444,1.375,1.2307692307692308,0,3
634654,634654,2021,2021-04-03,CIN,STL,1,9,6,3,12,1,0,2,3,8,3,41,35,19,11,0,.415,.551,9.0,27,7,5,0,13,3,5,6,40,170,99,0.58,2.0,1.3333333333333333,0.6111111111111112,0,3
634654,634654,2021,2021-04-03,STL,CIN,0,6,9,-3,7,0,0,3,5,13,0,40,34,16,13,0,.321,.479,8.0,24,12,3,3,8,2,9,9,41,152,93,0.61,1.3333333333333333,2.25,1.0833333333333333,3,0
634557,634557,2021,2021-04-04,COL,LAD,1,2,4,-2,4,2,0,0,2,10,0,33,31,6,6,0,.276,.422,9.0,27,4,9,0,8,1,2,4,38,162,93,0.57,0.6666666666666666,1.4444444444444444,1.0,2,1
634557,634557,2021,2021-04-04,LAD,COL,0,4,2,2,4,1,0,1,9,8,0,38,27,8,13,0,.424,.510,9.0,27,4,2,0,10,0,2,2,33,106,77,0.73,1.4444444444444444,0.6666666666666666,1.0,1,2
634560,634560,2021,2021-04-04,CIN,STL,1,12,1,11,9,1,1,2,5,5,0,40,34,18,11,0,.397,.544,9.0,27,5,2,1,9,0,1,1,33,144,94,0.65,1.5555555555555556,0.8888888888888888,0.7857142857142857,2,0
634560,634560,2021,2021-04-04,STL,CIN,0,1,12,-11,5,2,0,0,2,9,1,33,30,7,13,0,.298,.406,8.0,24,9,5,0,5,2,12,12,40,153,94,0.61,0.8888888888888888,1.75,1.625,0,2
634572,634572,2021,2021-04-04,SD,AZ,1,1,3,-2,6,1,0,1,5,7,1,38,32,10,19,1,.390,.472,9.0,27,6,6,0,8,0,2,3,38,155,96,0.62,1.3333333333333333,1.3333333333333333,1.5833333333333333,1,0
634572,634572,2021,2021-04-04,AZ,SD,0,3,1,2,6,1,1,0,6,8,0,38,32,9,20,0,.265,.377,9.0,27,6,5,1,7,1,1,1,38,136,91,0.67,1.3333333333333333,1.3333333333333333,1.6666666666666667,0,1
634593,634593,2021,2021-04-04,KC,TEX,1,3,7,-4,8,2,0,1,0,14,0,36,36,13,9,1,.397,.569,9.0,27,8,4,1,9,2,6,7,39,143,94,0.66,0.8888888888888888,1.4444444444444444,1.125,1,1
634593,634593,2021,2021-04-04,TEX,KC,0,7,3,4,8,1,0,2,4,9,1,39,33,15,14,2,.384,.410,9.0,27,8,0,0,14,1,3,3,36,130,92,0.71,1.4444444444444444,0.8888888888888888,1.0769230769230769,1,1
634597,634597,2021,2021-04-04,MIL,MIN,1,2,8,-6,5,1,0,1,3,10,0,36,32,9,12,0,.236,.220,9.0,27,11,5,0,7,2,7,8,41,178,98,0.55,0.8888888888888888,1.7777777777777777,1.5,0,2
634597,634597,2021,2021-04-04,MIN,MIL,0,8,2,6,11,3,0,2,5,7,0,41,35,20,21,1,.319,.419,9.0,27,5,3,0,10,1,1,2,36,141,96,0.68,1.7777777777777777,0.8888888888888888,1.3125,2,0
634607,634607,2021,2021-04-04,NYY,TOR,1,1,3,-2,5,2,0,0,2,6,0,33,31,7,9,0,.313,.307,9.0,27,5,2,0,5,2,3,3,36,136,92,0.68,0.7777777777777778,0.7777777777777778,1.2857142857142858,0,0
634607,634607,2021,2021-04-04,TOR,NYY,0,3,1,2,5,1,0,2,2,5,0,36,33,12,11,0,.264,.343,9.0,27,5,2,0,6,0,1,1,33,141,89,0.63,0.7777777777777778,0.7777777777777778,1.5714285714285714,0,0
634610,634610,2021,2021-04-04,BOS,BAL,1,3,11,-8,6,2,0,1,2,8,0,35,32,11,10,0,.214,.234,9.0,27,17,8,0,15,0,11,11,52,217,129,0.59,0.8888888888888888,2.7777777777777777,1.25,0,1
634610,634610,2021,2021-04-04,BAL,BOS,0,11,3,8,17,6,0,0,8,15,0,52,44,23,33,0,.363,.384,9.0,27,6,2,0,8,1,3,3,35,133,93,0.7,2.7777777777777777,0.8888888888888888,1.32,1,0
634611,634611,2021,2021-04-04,DET,CLE,1,3,9,-6,2,0,0,2,3,9,0,30,27,8,2,0,.291,.337,9.0,27,10,3,0,6,3,9,9,39,144,91,0.63,0.5555555555555556,1.4444444444444444,0.4,0,7
634611,634611,2021,2021-04-04,CLE,DET,0,9,3,6,10,3,0,3,3,6,0,39,36,22,7,1,.319,.434,9.0,27,2,3,0,9,2,3,3,30,119,75,0.63,1.4444444444444444,0.5555555555555556,0.5384615384615384,7,0
634613,634613,2021,2021-04-04,CHC,PIT,1,4,3,1,3,1,0,1,7,7,0,34,27,7,14,1,.262,.286,9.0,27,7,4,0,7,1,3,3,36,139,91,0.65,1.1111111111111112,1.2222222222222223,1.4,0,1
634613,634613,2021,2021-04-04,PIT,CHC,0,3,4,-1,7,1,0,1,4,7,0,36,32,11,12,0,.336,.333,8.0,24,3,7,0,7,1,4,4,34,144,81,0.56,1.2222222222222223,1.25,1.0909090909090908,1,0
634617,634617,2021,2021-04-04,PHI,ATL,1,2,1,1,8,0,0,1,3,13,0,34,30,11,15,1,.351,.344,9.0,27,4,3,0,11,1,1,1,32,113,72,0.64,1.2222222222222223,0.7777777777777778,1.3636363636363635,1,1
634617,634617,2021,2021-04-04,ATL,PHI,0,1,2,-1,4,1,0,1,3,11,0,32,29,8,6,0,.180,.223,8.0,24,8,3,0,13,1,2,2,34,135,87,0.64,0.7777777777777778,1.375,0.8571428571428571,1,1
634637,634637,2021,2021-04-04,LAA,CWS,1,7,4,3,10,0,0,3,5,5,1,41,33,19,14,0,.336,.450,9.0,27,5,6,1,12,0,1,4,41,163,98,0.6,1.7777777777777777,1.3333333333333333,0.875,3,1
634637,634637,2021,2021-04-04,CWS,LAA,0,4,7,-3,5,0,0,0,6,12,1,41,33,5,20,2,.327,.362,8.333333333333334,25,10,5,1,5,3,7,7,41,165,98,0.59,1.3333333333333333,1.92,1.6666666666666667,1,3
634651,634651,2021,2021-04-04,ATH,HOU,1,2,9,-7,4,2,1,0,2,9,0,33,31,8,10,0,.268,.268,9.0,27,11,4,0,5,3,8,9,40,173,113,0.65,0.6666666666666666,1.6666666666666667,1.6666666666666667,0,0
634651,634651,2021,2021-04-04,HOU,ATH,0,9,2,7,11,2,0,3,4,5,0,40,36,22,11,0,.398,.565,9.0,27,4,2,0,9,0,2,2,33,145,95,0.66,1.6666666666666667,0.6666666666666666,0.7333333333333333,0,0
634551,634551,2021,2021-04-05,SEA,CWS,1,0,6,-6,3,2,0,0,4,15,2,36,30,5,18,1,.304,.323,9.0,27,10,4,1,8,1,4,6,42,158,97,0.61,1.0,1.6666666666666667,2.0,0,0
634551,634551,2021,2021-04-05,CWS,SEA,0,6,0,6,10,1,0,1,4,8,1,42,37,14,20,0,.333,.365,9.0,27,3,4,2,15,0,0,0,36,151,94,0.62,1.6666666666666667,1.0,1.3333333333333333,0,0
634552,634552,2021,2021-04-05,LAA,HOU,1,7,6,1,10,0,0,1,5,3,1,41,34,13,24,0,.347,.436,9.0,27,11,5,0,9,1,6,6,44,190,112,0.59,1.7777777777777777,1.7777777777777777,1.5,4,1
634552,634552,2021,2021-04-05,HOU,LAA,0,6,7,-1,11,1,0,1,5,9,0,44,39,15,25,0,.391,.527,8.0,24,10,5,1,3,1,6,7,41,165,103,0.62,1.7777777777777777,2.0,1.5625,1,4
634558,634558,2021,2021-04-05,CIN,PIT,1,5,3,2,8,2,0,2,5,13,0,38,33,16,20,0,.384,.529,9.0,27,5,3,0,15,3,3,3,35,147,97,0.66,1.4444444444444444,0.8888888888888888,1.5384615384615385,3,1
634558,634558,2021,2021-04-05,PIT,CIN,0,3,5,-2,5,0,0,3,3,15,0,35,32,14,14,0,.311,.359,8.0,24,8,5,0,13,2,5,5,38,159,98,0.62,0.8888888888888888,1.625,1.75,1,3
634562,634562,2021,2021-04-05,MIA,STL,1,1,4,-3,5,1,0,0,1,6,2,35,31,6,12,0,.299,.371,9.0,27,5,4,0,14,1,3,4,35,152,95,0.63,0.8888888888888888,1.0,1.5,0,0
634562,634562,2021,2021-04-05,STL,MIA,0,4,1,3,5,1,0,1,4,14,0,35,31,9,14,0,.289,.379,9.0,27,5,1,2,6,0,1,1,35,145,89,0.61,1.0,0.8888888888888888,1.5555555555555556,0,0
634566,634566,2021,2021-04-05,CHC,MIL,1,5,3,2,5,1,1,3,3,6,2,33,27,17,9,1,.274,.369,9.0,27,4,2,1,12,1,3,3,33,135,91,0.67,1.1111111111111112,0.7777777777777778,0.9,1,3
634566,634566,2021,2021-04-05,MIL,CHC,0,3,5,-2,4,0,0,1,2,12,1,33,30,7,9,0,.231,.223,8.0,24,5,3,2,6,3,5,5,33,131,68,0.52,0.7777777777777778,1.25,1.2857142857142858,3,1
634587,634587,2021,2021-04-05,NYY,BAL,1,7,0,7,7,0,0,2,7,10,0,38,31,13,13,0,.327,.333,9.0,27,4,2,0,13,0,0,0,33,120,86,0.72,1.5555555555555556,0.6666666666666666,0.9285714285714286,0,0
634587,634587,2021,2021-04-05,BAL,NYY,0,0,7,-7,4,0,0,0,2,13,0,33,31,4,13,1,.325,.329,8.0,24,7,7,0,10,2,7,7,38,153,83,0.54,0.6666666666666666,1.75,2.1666666666666665,0,0
634588,634588,2021,2021-04-05,DET,MIN,1,6,15,-9,8,1,0,3,1,6,0,37,36,18,4,1,.279,.384,9.0,27,14,11,0,13,2,14,15,51,215,113,0.53,1.0,2.7777777777777777,0.4444444444444444,5,2
634588,634588,2021,2021-04-05,MIN,DET,0,15,6,9,14,5,0,2,11,13,0,51,40,25,20,0,.371,.476,9.0,27,8,1,0,6,3,6,6,37,144,97,0.67,2.7777777777777777,1.0,0.8,2,5
634591,634591,2021,2021-04-05,SD,SF,1,2,3,-1,8,0,1,0,4,6,1,41,35,10,22,1,.374,.432,9.0,27,9,2,0,8,3,3,3,37,152,96,0.63,1.4444444444444444,1.2222222222222223,1.6923076923076923,0,1
634591,634591,2021,2021-04-05,SF,SD,0,3,2,1,9,0,0,3,2,8,0,37,35,18,14,1,.299,.461,9.0,27,8,4,1,6,0,2,2,41,158,88,0.56,1.2222222222222223,1.4444444444444444,1.2727272727272727,1,0
634600,634600,2021,2021-04-05,ATH,LAD,1,3,10,-7,6,0,0,1,4,8,0,38,34,9,16,0,.267,.268,9.0,27,14,8,1,10,2,10,10,51,223,131,0.59,1.1111111111111112,2.5555555555555554,1.6,3,3
634600,634600,2021,2021-04-05,LAD,ATH,0,10,3,7,14,2,0,2,8,10,1,51,41,22,25,0,.430,.516,9.0,27,6,4,0,8,1,3,3,38,144,91,0.63,2.5555555555555554,1.1111111111111112,1.0869565217391304,3,3
634601,634601,2021,2021-04-05,BOS,TB,1,11,2,9,16,4,0,1,3,8,0,41,36,23,16,0,.285,.346,9.0,27,7,6,0,8,0,2,2,38,168,96,0.57,2.111111111111111,1.4444444444444444,0.8421052631578947,4,2
634601,634601,2021,2021-04-05,TB,BOS,0,2,11,-9,7,1,0,0,6,8,0,38,32,8,20,0,.295,.382,8.0,24,16,3,0,8,1,10,11,41,158,105,0.66,1.4444444444444444,2.375,1.5384615384615385,2,4
634606,634606,2021,2021-04-05,PHI,NYM,1,5,3,2,7,1,0,0,3,8,1,34,29,8,10,0,.345,.328,9.0,27,10,4,0,11,0,3,3,40,164,107,0.65,1.2222222222222223,1.5555555555555556,0.9090909090909091,5,1
634606,634606,2021,2021-04-05,NYM,PHI,0,3,5,-2,10,0,0,0,4,11,0,40,36,10,18,0,.350,.278,8.0,24,7,3,1,8,0,2,5,34,120,80,0.67,1.5555555555555556,1.375,1.2857142857142858,1,5
634612,634612,2021,2021-04-05,TEX,TOR,1,2,6,-4,5,1,0,0,1,14,2,35,32,6,14,0,.350,.358,9.0,27,7,4,4,8,2,5,6,39,160,96,0.6,0.8888888888888888,1.6666666666666667,1.75,1,1
