venue_id,season,asof_date,n_games,pf_raw,pf_shrunk,log_pf
5381.0,2016,2016-01-01,0,,1.0,0.0
5325.0,2016,2016-01-01,0,,1.0,0.0
2756.0,2016,2016-01-01,0,,1.0,0.0
2536.0,2016,2016-01-01,0,,1.0,0.0
5340.0,2016,2016-01-01,0,,1.0,0.0
5150.0,2016,2016-01-01,0,,1.0,0.0
3949.0,2016,2016-01-01,0,,1.0,0.0
2523.0,2016,2016-01-01,0,,1.0,0.0
2529.0,2016,2016-01-01,0,,1.0,0.0
6130.0,2016,2016-01-01,0,,1.0,0.0
5355.0,2016,2016-01-01,0,,1.0,0.0
5445.0,2016,2016-01-01,0,,1.0,0.0
17.0,2017,2017-01-01,162,0.8968063626363738,0.9464186882919632,-0.05507021979698643
680.0,2017,2017-01-01,162,0.9625815927035526,0.9805712115960753,-0.019620008144075364
4169.0,2017,2017-01-01,161,0.8774687173578243,0.9365674067350795,-0.06553378239503733
12.0,2017,2017-01-01,165,0.9020272313376982,0.948680930700699,-0.05268275323783769
2681.0,2017,2017-01-01,162,0.9710687191638337,0.9849779887966059,-0.015135984459117527
7.0,2017,2017-01-01,162,1.0163333936186665,1.0084808005327692,0.008445040583681783
2392.0,2017,2017-01-01,162,0.9088297917884387,0.9526616226593817,-0.04849550379371401
32.0,2017,2017-01-01,162,1.0057244855433152,1.002972329032106,0.002967920395952832
2394.0,2017,2017-01-01,161,1.0318975183851138,1.0165128632154448,0.016378008423752907
3309.0,2017,2017-01-01,162,0.9484363819364174,0.9732265829285245,-0.02713835347610371
2602.0,2017,2017-01-01,162,1.0722069761488506,1.0374920837695956,0.0368063429920123
22.0,2017,2017-01-01,162,0.8593215541034654,0.9269554223229531,-0.07584980268155625
15.0,2017,2017-01-01,162,1.1613218039818025,1.0837632443751666,0.08043946991467989
10.0,2017,2017-01-01,162,0.9420710370912064,0.9699215000281265,-0.030540138565595287
3313.0,2017,2017-01-01,162,1.0198696963104503,1.010316957699657,0.010264101126737646
2680.0,2017,2017-01-01,162,0.9894574931611095,0.9945260060644222,-0.0054890311412018776
19.0,2017,2017-01-01,162,1.3558184520299121,1.1847518885539927,0.16953337591703774
5.0,2017,2017-01-01,161,1.0852715279567575,1.0441437813538197,0.04319720158097318
13.0,2017,2017-01-01,162,1.136567685139316,1.0709101442069526,0.06850888897946578
1.0,2017,2017-01-01,162,0.9236822630939306,0.9603734827603102,-0.04043302563647085
4.0,2017,2017-01-01,162,0.9208532209405036,0.9589045570267999,-0.041963732485478265
16.0,2017,2017-01-01,161,0.9799468157353804,0.9896187695607597,-0.01043549126808433
2.0,2017,2017-01-01,159,1.0528040172286481,1.0271709991564888,0.026808420646600963
2395.0,2017,2017-01-01,162,0.9074152707117252,0.9519271597926265,-0.049266759940898366
31.0,2017,2017-01-01,162,0.9689469375487634,0.9838762944964733,-0.016255106808053685
3312.0,2017,2017-01-01,162,1.074328757763921,1.038593778069728,0.03786766172048589
2889.0,2017,2017-01-01,162,0.9052934890966549,0.9508254654924938,-0.05042476062748665
3289.0,2017,2017-01-01,162,0.8791248491774547,0.9372379024575245,-0.06481813093672181
14.0,2017,2017-01-01,162,1.065134370765283,1.03381976943582,0.033260456672814256
3.0,2017,2017-01-01,162,1.1832468806708623,1.0951474188098707,0.09088898325689707
5010.0,2017,2017-01-01,1,0.8020334504965677,0.9986889632483217,-0.0013118969122440473
4705.0,2017,2017-01-01,0,,1.0,0.0
2735.0,2017,2017-01-01,0,,1.0,0.0
2535.0,2017,2017-01-01,0,,1.0,0.0
2701.0,2017,2017-01-01,0,,1.0,0.0
2397.0,2017,2017-01-01,0,,1.0,0.0
5365.0,2017,2017-01-01,0,,1.0,0.0
5381.0,2017,2017-01-01,0,,1.0,0.0
5325.0,2017,2017-01-01,0,,1.0,0.0
2756.0,2017,2017-01-01,0,,1.0,0.0
2536.0,2017,2017-01-01,0,,1.0,0.0
5340.0,2017,2017-01-01,0,,1.0,0.0
5150.0,2017,2017-01-01,0,,1.0,0.0
3949.0,2017,2017-01-01,0,,1.0,0.0
2523.0,2017,2017-01-01,0,,1.0,0.0
2529.0,2017,2017-01-01,0,,1.0,0.0
6130.0,2017,2017-01-01,0,,1.0,0.0
