model,n,nll,rmse,mae,brier_8.5,count_nll
league_mean_total,7289,2.923837906328876,4.5031698103018405,3.5540285468554162,0.25120820851557907,
park_adjusted_mean,7289,2.9192327160630143,4.48207417525874,3.5450242282435194,0.24988710036784006,
linear_totals,7289,2.971988523968286,4.452212542012492,3.5212513549273137,0.24727782045608623,
negbinom_totals,7289,2.9098359025572544,4.4516289366171025,3.5202467548296346,0.24760305905560498,2.8607093244905135
